chain_id,l2block,l1block,timestamp,gas_price
1,346200343,22680752,1749638073,1873230661
42161,346200343,22680752,1749638073,10000000
1,346100343,22678676,1749613037,1520948163
42161,346100343,22678676,1749613037,10000000
1,346000343,22676608,1749587971,9570909917
42161,346000343,22676608,1749587971,67884000
1,345900343,22674529,1749562943,4577170871
42161,345900343,22674529,1749562943,38888000
1,345800343,22672457,1749537943,985803421
42161,345800343,22672457,1749537943,10000000
1,345700343,22670393,1749512906,1849995468
42161,345700343,22670393,1749512906,30230000
1,345600343,22668270,1749487220,8571495351
42161,345600343,22668270,1749487220,10000000
1,345500343,22666190,1749462115,1035921377
42161,345500343,22666190,1749462115,10000000
1,345400343,22664119,1749437049,515203726
42161,345400343,22664119,1749437049,11098000
1,345300343,22662038,1749411944,469979431
42161,345300343,22662038,1749411944,10000000
1,345200343,22659961,1749386847,597992613
42161,345200343,22659961,1749386847,10000000
1,345100343,22657884,1749361736,1007608462
42161,345100343,22657884,1749361736,10000000
1,345000343,22655806,1749336665,558500351
42161,345000343,22655806,1749336665,11875000
1,344900343,22653713,1749311447,1160371782
42161,344900343,22653713,1749311447,10000000
1,344800343,22651638,1749286374,852134319
42161,344800343,22651638,1749286374,10000000
1,344700343,22649557,1749261306,838029341
42161,344700343,22649557,1749261306,10000000
1,344600343,22647471,1749236169,2115647348
42161,344600343,22647471,1749236169,10000000
1,344500343,22645398,1749211088,1691411291
42161,344500343,22645398,1749211088,11815000
1,344400343,22643333,1749186011,835209304
42161,344400343,22643333,1749186011,10000000
1,344300343,22641255,1749160897,9478028223
42161,344300343,22641255,1749160897,55579000
1,344200343,22639172,1749135773,7060721306
42161,344200343,22639172,1749135773,36429000
1,344100343,22637107,1749110711,1715702414
42161,344100343,22637107,1749110711,10000000
1,344000343,22635037,1749085617,855145227
42161,344000343,22635037,1749085617,10000000
1,343900343,22632954,1749060455,4034572993
42161,343900343,22632954,1749060455,10000000
1,343800343,22630882,1749035367,3082943104
42161,343800343,22630882,1749035367,10000000
1,343700343,22628811,1749010294,1137786564
42161,343700343,22628811,1749010294,10000000
1,343600343,22626737,1748985203,3182350030
42161,343600343,22626737,1748985203,10000000
1,343500343,22624653,1748960106,4966065238
42161,343500343,22624653,1748960106,15207000
1,343400343,22622587,1748935047,1331571724
42161,343400343,22622587,1748935047,10000000
1,343300343,22620512,1748909987,1660642335
42161,343300343,22620512,1748909987,10700000
1,343200343,22618430,1748884769,4288461674
42161,343200343,22618430,1748884769,10000000
1,343100343,22616361,1748859677,2103866753
42161,343100343,22616361,1748859677,10000000
1,343000343,22614290,1748834600,1135922588
42161,343000343,22614290,1748834600,10000000
1,342900343,22612210,1748809497,985785774
42161,342900343,22612210,1748809497,10000000
1,342800343,22610128,1748784300,1396936851
42161,342800343,22610128,1748784300,10000000
1,342700343,22608058,1748759236,654124923
42161,342700343,22608058,1748759236,10000000
1,342600343,22605981,1748734088,901670390
42161,342600343,22605981,1748734088,10000000
1,342500343,22603899,1748708925,2127494639
42161,342500343,22603899,1748708925,10000000
1,342400343,22601825,1748683830,774961496
42161,342400343,22601825,1748683830,10000000
1,342300343,22599750,1748658786,1651394976
42161,342300343,22599750,1748658786,39079000
1,342200343,22597661,1748633616,2612388932
42161,342200343,22597661,1748633616,10000000
1,342100343,22595576,1748608467,2618972163
42161,342100343,22595576,1748608467,10000000
1,342000343,22593508,1748583416,1042492416
42161,342000343,22593508,1748583416,10000000
1,341900343,22591428,1748558332,2022073292
42161,341900343,22591428,1748558332,10116000
1,341800343,22589346,1748533148,6541658077
42161,341800343,22589346,1748533148,41118000
1,341700343,22587276,1748508042,1744201031
42161,341700343,22587276,1748508042,10000000
1,341600343,22585200,1748482919,2802404114
42161,341600343,22585200,1748482919,10494000
1,341500343,22583116,1748457786,2869864538
42161,341500343,22583116,1748457786,10000000
1,341400343,22581038,1748432626,2093244841
42161,341400343,22581038,1748432626,10000000
1,341300343,22578975,1748407581,802896702
42161,341300343,22578975,1748407581,10000000
