block_number,timestamp,price
22687013,1749713543,2774.963763
22686714,1749709931,2768.585019
22686415,1749706343,2769.9166
22686116,1749702755,2768.770453
22685817,1749699155,2764.13023
22685518,1749695567,2777.28068
22685219,1749691955,2775.534385
22684920,1749688367,2781.165890
22684621,1749684755,2777.195119
22684322,1749681155,2763.650946
22684023,1749677567,2819.550598
22683724,1749673943,2820.588178
22683425,1749670307,2831.624675
22683126,1749666707,2820.654555
22682827,1749663107,2872.371124
22682528,1749659483,2865.721569
22682229,1749655847,2866.490840
22681930,1749652259,2841.552539
22681631,1749648659,2818.918958
22681332,1749645059,2800.1762
22681033,1749641471,2779.539389
22680734,1749637847,2772.756568
22680435,1749634223,2785.451972
22680136,1749630599,2791.412766
22679837,1749627011,2798.119193
22679538,1749623411,2801.485464
22679239,1749619811,2802.78567
22678940,1749616211,2801.291429
22678641,1749612587,2795.756089
22678342,1749608951,2797.464320
22678043,1749605303,2800.296033
22677744,1749601667,2822.809645
22677445,1749598067,2809.68215
22677146,1749594479,2816.931312
22676847,1749590855,2756.582538
22676548,1749587231,2770.998142
22676249,1749583619,2776.182145
22675950,1749580007,2749.111296
22675651,1749576419,2750.12481
22675352,1749572819,2747.8049
22675053,1749569219,2747.173737
22674754,1749565619,2751.329009
22674455,1749562019,2780.278481
22674156,1749558431,2766.262166
22673857,1749554831,2757.700312
22673558,1749551231,2700.681479
22673259,1749547607,2688.259333
22672960,1749543983,2688.939450
22672661,1749540395,2683.284471
22672362,1749536783,2666.309058
